Date,Market Cap
1510185600000,156404161.61769113
1510272000000,133968506.2492818
1510358400000,125470649.38402924
1510444800000,118235245.90326259
1510531200000,132386427.48493508
1510617600000,158479487.413139
1510704000000,152242301.026122
1510790400000,147470996.18371
1510876800000,132729588.66321
1510963200000,132693856.773722
1511049600000,130259776.10292
1511136000000,139968958.501911
1511222400000,139727776.589602
1511308800000,153081053.186036
1511395200000,140256267.319897
1511481600000,135886679.771313
1511568000000,132186806.520027
1511654400000,138886239.354519
1511740800000,137391323.843611
1511827200000,157303861.754746
1511913600000,135028093.697619
1512000000000,151961655.37658
1512086400000,140761166.858812
1512172800000,139299880.204911
1512259200000,138051871.365982
1512345600000,141541434.294398
1512432000000,140507657.865294
1512518400000,251391339.358649
1512604800000,258211689.362915
1512691200000,278974710.335557
1512777600000,289726095.333273
1512864000000,284787760.133959
1512950400000,337692576.970699
1513036800000,495518100.391034
1513123200000,1018429358.77093
1513209600000,1117342410.94018
1513296000000,1158452947.09193
1513382400000,2418341289.20449
1513468800000,2248365867.15762
1513555200000,2629410137.61121
1513641600000,2857064671.44368
1513728000000,3266642235.67293
1513814400000,3102874691.31574
1513900800000,2341227618.76913
1513987200000,3360687547.59768
1514073600000,2469439876.38476
1514160000000,2117543982.50347
1514246400000,2527864819.3834
1514332800000,2453988939.35979
1514419200000,2755842107.99917
1514505600000,2422871682.92266
1514592000000,2525120231.50055
1514678400000,3061167096.49557
1514764800000,3396160239.71634
1514851200000,5318573557.16831
1514937600000,6450346842.00308
1515024000000,14342242466.251856
1515110400000,15232064950.201818
1515196800000,11787828359.03878
1515283200000,13135565795.792473
1515369600000,10316251808.012896
1515456000000,8724391278.191036
1515542400000,8827652659.769632
1515628800000,7506631022.4656
1515715200000,7624434024.301804
1515801600000,7176051483.729059
1515888000000,5868585694.693454
1515974400000,5290661151.234503
1516060800000,3625314077.01625
1516147200000,5085104035.913708
1516233600000,5573003138.527293
1516320000000,5422747620.008902
1516406400000,5823414719.695579
1516492800000,4793477385.080525
1516579200000,4839719959.966953
1516665600000,4536710530.520242
1516752000000,4623973034.288114
1516838400000,4547042229.286917
1516924800000,4335182611.660119
1517011200000,4522940905.453789
1517097600000,4279834888.948997
1517184000000,4163852072.426046
1517270708241,4152512527.3377676
1517356800000,3514536002.950034
1517443200000,3562404575.818484
1517529600000,3012186224.5901117
1517616000000,2770207533.6923323
1517702400000,2939927150.8668785
1517788800000,2558737306.280775
1517875200000,1952539211.9513197
1517961600000,2362401309.520669
1518048307122,2161311689.0423307
1518134400000,2459215763.4183264
1518220800000,3048514899.2211747
1518307200000,3165425038.4965324
1518393600000,2794145701.452665
1518480000000,3042993137.557031
1518566400000,2824136156.1060443
1518652800000,3019162465.15066
1518739200000,3075496876.19906
1518825600000,3422501095.7661376
1518912000000,3584920976.2704883
1518998400000,3289122047.0741444
1519084800000,3375995517.755868
1519171200000,3147270804.901846
1519257600000,2665934501.883978
1519344000000,2669406972.96769
1519430400000,2838975341.879208
1519516800000,2680732006.5174823
1519603200000,2652525311.321767
1519689600000,2743826266.776447
1519776000000,2814161165.4491105
1519862400000,2839809834.9461594
1519948800000,3137358264.4533134
1520035200000,3511455815.062678
1520121600000,3212427588.16158
1520208000000,3093517022.020143
1520294400000,3075938419.2918615
1520380800000,2888403182.1121964
1520467200000,2568287609.9714518
1520553600000,2421572698.7113295
1520640000000,2389311427.4287357
1520726400000,2315906039.295478
1520812800000,2546586329.723773
1520899200000,2396611946.513081
1520985600000,2383989321.923814
1521072000000,2062048337.0519128
1521158400000,2008278473.0001028
1521244800000,2045739087.0259135
1521331200000,1901885514.5799575
1521417600000,1884126502.4658878
1521504000000,2166263628.7703876
1521590400000,2501068076.968664
1521676800000,2448755194.6098437
1521763200000,2481465475.2283206
1521849600000,2712402000.337688
1521936000000,3301286961.763192
1522022400000,2991338867.885427
1522108800000,2940208309.144727
1522195200000,2859278009.891583
1522281600000,3193338007.483283
1522368000000,2838407742.037378
1522454400000,2735730838.2826986
1522540800000,2244484866.5123024
1522627200000,2124390658.492282
1522713600000,2350062560.1760592
1522800000000,2297358039.3266025
1522886400000,1990830165.547355
1522972800000,2624931210.692086
1523059200000,2429908015.1241145
1523145600000,2435399545.4626603
1523232000000,2466744781.952124
1523318400000,2359036768.2920694
1523404800000,2430095830.197599
1523491200000,2377057215.600606
1523577600000,2587140902.2808366
1523664000000,2552283399.6696897
1523750400000,2601798412.957875
1523836800000,2801575954.425311
1523923200000,2712632546.6477733
1524009600000,2761685999.904541
1524096000000,3101726593.842081
1524182400000,3245288669.661702
1524268800000,3458852391.9485393
1524355200000,3523226112.263521
1524441600000,3440136163.0216627
1524528000000,3828733003.608371
1524614400000,4810415687.754417
1524700800000,4595792884.674538
1524787200000,4856330416.359308
1524873600000,4875187535.368203
1524960000000,5350414795.743118
1525046400000,5837927727.632846
1525132800000,6145853032.5238
1525219200000,6081067686.364587
1525305600000,5961048886.778842
1525392000000,5769144396.837065
1525478400000,5692992837.815038
1525564800000,5700938378.431071
1525651200000,5573224828.5161705
1525737600000,5461069519.471939
1525824000000,5439596457.203208
1525910400000,5294109388.665898
1525996800000,4826038894.606768
1526083200000,4345572557.650908
1526169600000,4529152555.764934
1526256000000,4978901475.594945
1526342400000,4786760345.626496
1526428800000,4490948326.7774
1526515200000,4724045453.464707
1526601600000,4428573527.049439
1526688000000,4560460623.445852
1526774400000,4525304311.560185
1526860800000,5053603017.979172
1526947200000,5404629720.213115
1527033600000,4920379286.740708
1527120000000,4606649007.00657
1527206400000,4792582477.448126
