Date,Price
1508284800000,0.02684535467621909
1508371200000,0.026829950465728686
1508457600000,0.030299606216252807
1508544000000,0.028587962639027336
1508630400000,0.027796038407662104
1508716800000,0.026045125887389137
1508803200000,0.02741740303131111
1508889600000,0.027269301575107045
1508976000000,0.026591400393809417
1509062400000,0.026509621493760783
1509148800000,0.025976412766541904
1509235200000,0.02835203544137527
1509321600000,0.028385407497551127
1509408000000,0.03025109529644789
1509494400000,0.023096036249201986
1509580800000,0.021320577458857376
1509667200000,0.022789425903364136
1509753600000,0.021802078918245652
1509840000000,0.022026315814418173
1509926400000,0.022303564694850217
1510012800000,0.022288565665913324
1510099200000,0.025146348345649026
1510185600000,0.03276949505442782
1510272000000,0.02729304274337792
1510358400000,0.027498518721010355
1510444800000,0.024521650906143423
1510531200000,0.025114287383622588
1510617600000,0.0262283052840494
1510704000000,0.02601455327855
1510790400000,0.0271062720187573
1510876800000,0.0259167531670733
1510963200000,0.0265277202424606
1511049600000,0.0277212109355903
1511136000000,0.0300027359042463
1511222400000,0.0285982155306659
1511308800000,0.0287315492166677
1511395200000,0.0279406665612257
1511481600000,0.0285119374458932
1511568000000,0.0306147875989473
1511654400000,0.0385478736298579
1511740800000,0.0504690379751281
1511827200000,0.120725683497858
1511913600000,0.0926358698508062
1512000000000,0.124064710988949
1512086400000,0.130849110282103
1512172800000,0.135290045772832
1512259200000,0.131928545432995
1512345600000,0.136318229854403
1512432000000,0.131266070674367
1512518400000,0.128998005781454
1512604800000,0.113499775677648
1512691200000,0.119771110477752
1512777600000,0.122069680246509
1512864000000,0.110753179803104
1512950400000,0.120168304834103
1513036800000,0.133573902305472
1513123200000,0.134376501748155
1513209600000,0.217011359286374
1513296000000,0.217634409481701
1513382400000,0.408204448101932
1513468800000,0.475589482657346
1513555200000,0.506894865185778
1513641600000,0.547831246289424
1513728000000,0.492296744072274
1513814400000,0.497934077786734
1513900800000,0.414617118807978
1513987200000,0.43637378035081
1514073600000,0.406643144559958
1514160000000,0.424664376944429
1514246400000,0.449756880487314
1514332800000,0.430559657117027
1514419200000,0.429505402037996
1514505600000,0.545309043550218
1514592000000,0.67857929095975
1514678400000,0.767634603799483
1514764800000,0.74714042363643
1514851200000,0.807430250865508
1514937600000,1.0754011011838815
1515024000000,1.1793470150411156
1515110400000,1.0778211835149423
1515196800000,1.093780172480279
1515283200000,1.0528536805180457
1515369600000,0.9418999315467624
1515456000000,0.8662015396561794
1515542400000,0.8164417056119962
1515628800000,0.7274617292991923
1515715200000,0.9623286418063227
1515801600000,0.9379071855617376
1515888000000,0.8418895265838228
1515974400000,0.8224040744826202
1516060800000,0.6382177391603058
1516147200000,0.6495671614349702
1516233600000,0.671356127214076
1516320000000,0.6657514508348865
1516406400000,0.7340009347332741
1516492800000,0.6290330817666664
1516579200000,0.5813511689714357
1516665600000,0.5648508617693447
1516752000000,0.6248776332409309
1516838400000,0.63963832722956
1516924800000,0.6206010251818365
1517011200000,0.625463721730052
1517097600000,0.6305763664855509
1517184000000,0.5924707176465416
1517270721088,0.5879492074894594
1517356800000,0.5017165694625461
1517443200000,0.4994619104070018
1517529600000,0.41192005156171696
1517616000000,0.39990284748947247
1517702400000,0.448042724772298
1517788800000,0.39506509860605493
1517875200000,0.3100116180114175
1517961600000,0.3599758232654266
1518048318856,0.33025486846696983
1518134400000,0.3423716700897969
1518220800000,0.3772460072631502
1518307200000,0.384454867565513
1518393600000,0.3551576922387197
1518480000000,0.3719208342226599
1518566400000,0.3547574424696075
1518652800000,0.38574353026605734
1518739200000,0.3909104389882274
1518825600000,0.3907621379870917
1518912000000,0.41475537686890657
1518998400000,0.36880412256656936
1519084800000,0.37366498315990676
1519171200000,0.35618085040087505
1519257600000,0.3154844158276566
1519344000000,0.3173495150371504
1519430400000,0.32549417709221845
1519516800000,0.302825129036927
1519603200000,0.3320578669828895
1519689600000,0.32859065924094755
1519776000000,0.3300885506885125
1519862400000,0.3058062343297469
1519948800000,0.2998293451647896
1520035200000,0.2914111343427157
1520121600000,0.2897399328539955
1520208000000,0.296097287595342
1520294400000,0.29517408599932904
1520380800000,0.27834281537457284
1520467200000,0.24457187822296733
1520553600000,0.21573889645183913
1520640000000,0.21124978226718655
1520726400000,0.20501892019922235
1520812800000,0.21999453645458505
1520899200000,0.22454217722034178
1520985600000,0.22159015518213107
1521072000000,0.20027711504949422
1521158400000,0.1873430230133917
1521244800000,0.18206790679910398
1521331200000,0.15804012169192813
1521417600000,0.15605259100982408
1521504000000,0.19463663042717663
1521590400000,0.20375635471668324
1521676800000,0.21588196054455117
1521763200000,0.20377530994314505
1521849600000,0.18928756545591438
1521936000000,0.18911688818908837
1522022400000,0.18485616933790586
1522108800000,0.1678051228600666
1522195200000,0.15567516111215665
1522281600000,0.15990271243968826
1522368000000,0.14625632486959209
1522454400000,0.14672090061322438
1522540800000,0.15553196120838061
1522627200000,0.1516447663657668
1522713600000,0.15650316859491217
1522800000000,0.17286210266382487
1522886400000,0.15569240193401918
1522972800000,0.15018647011781366
1523059200000,0.1443869833475578
1523145600000,0.14813151681847894
1523232000000,0.1562199153361142
1523318400000,0.1532177813959485
1523404800000,0.15645861653266155
1523491200000,0.16581090224514816
1523577600000,0.21285054905675554
1523664000000,0.19893245843277063
1523750400000,0.1995465773527809
1523836800000,0.22105538551375975
1523923200000,0.25620473240326014
1524009600000,0.24346264127594142
1524096000000,0.2605175569125585
1524182400000,0.27251094301192574
1524268800000,0.2943787679831131
1524355200000,0.291419684042092
1524441600000,0.2842078073784546
1524528000000,0.2876005132930135
