Date,Price,Market Cap,24 Hour Trading Vol
2021-05-07,41.51515689478929,41263884488.423386,3591760181.6557684
2021-05-08,39.92955918660888,39477322692.65792,2614452242.387992
2021-05-09,39.64457142823194,39197018807.0192,1539872559.5545456
2021-05-10,40.30508802482359,39960281498.6593,1960812614.728528
2021-05-11,36.69757742138309,36380576367.92715,2738737908.933777
2021-05-12,38.62921407206655,38213129449.26634,1978072269.6659772
2021-05-13,35.36632136089033,36142903315.04381,3297743471.4965587
2021-05-14,40.10454040127252,39682065176.0802,6028561379.2491
2021-05-15,47.33235363570565,46663358358.632095,4389158726.270394
2021-05-16,43.190023148615246,42873126463.91633,5670783483.435763
2021-05-17,42.495607764845325,41909567642.53158,3512522788.0849147
2021-05-18,38.46656477354152,38675535803.375725,3591393624.034624
2021-05-19,40.78449482314308,40700856754.28537,2964614890.0023675
2021-05-20,25.54743108791691,26212334807.34307,7440268038.0967455
2021-05-21,28.967655743659357,28603677243.810192,4887264993.644384
2021-05-22,23.886862196760717,23855622508.168064,4537200355.067695
2021-05-23,21.986431379821404,21860219890.87334,3027159412.6211486
2021-05-24,18.055571726141213,17830097290.168854,4240565324.877562
2021-05-25,23.06825628992376,22978156612.95417,3294658515.605996
2021-05-26,21.997749037508,21933881526.44776,2593578225.083468
2021-05-27,24.663574518122417,24531339737.5942,2295932465.490305
2021-05-28,23.994031084550947,24040296853.950665,1953660434.219988
2021-05-29,21.464260992226063,21392351948.632805,3163705196.799271
2021-05-30,19.91821668154229,20036900253.63005,1639713144.1522937
2021-05-31,20.42812252465196,20344660576.923485,1386880188.949725
2021-06-01,23.328086584213068,23254070863.818947,1916499739.732156
2021-06-02,22.902544778389903,22899347242.9052,1555014124.7382228
2021-06-03,26.167284395860875,26126479643.786804,2139089062.7504544
2021-06-04,27.234938171421856,27239991190.48918,2059836125.1783893
2021-06-05,25.10056065061593,25084953695.39406,1952268571.332295
2021-06-06,23.815643608975247,23680247755.592136,1415753256.4326484
2021-06-07,24.145890051847427,24156716111.00127,843204626.1208866
2021-06-08,21.39739256988473,21605113644.382584,1280241352.385666
2021-06-09,21.86519351195177,21896291632.897587,1698751463.5288625
2021-06-10,23.196555046160704,23303937957.99968,1452158373.0871491
2021-06-11,22.680029341910497,22853431521.80117,1437709901.7599847
2021-06-12,21.056524698640047,21108781102.469795,981770548.2225292
2021-06-13,20.847240009628237,21002014902.98868,962136083.1628792
2021-06-14,22.088991123662677,22042757096.994293,802526585.392608
2021-06-15,25.93495744173237,26018722804.42594,2102058923.7809916
2021-06-16,24.11981873706437,24229295867.459297,1499821201.2995615
2021-06-17,22.83454099821231,22887778579.919186,1132504108.432292
2021-06-18,22.554291981739443,22454000728.77677,830343796.1260432
2021-06-19,21.45525596949972,21545349132.29741,861812291.6179062
2021-06-20,20.382325917766163,20468951490.828773,624793482.9809674
2021-06-21,20.744845672595986,20817405498.417957,889911121.8767681
2021-06-22,15.781535531442344,15982853048.931553,1604155701.6824002
2021-06-23,14.627751874192958,14637302133.758291,2207447798.607186
2021-06-24,15.86142317528762,15964610514.042696,1395173769.7441962
2021-06-25,16.262421022046162,16337122561.43929,891444663.6233742
2021-06-26,14.747592275574856,14854414724.676348,863464620.4382737
2021-06-27,14.41927250471979,14370536477.857649,805461997.5952917
2021-06-28,14.976084280991744,15038775166.061934,616294782.9453921
2021-06-29,15.775887722002627,15872501595.64575,755671286.8360317
2021-06-30,16.279041729818577,16384626754.387346,935736808.1989928
2021-07-01,16.412002192338434,16512919235.466106,858783153.1010189
2021-07-02,15.281224095869002,15380656777.288427,585331700.7122605
2021-07-03,15.34228143954972,15419847509.992872,468816447.8059007
2021-07-04,15.507857021418484,15587592092.317818,433677879.5271505
2021-07-05,16.029758819607352,16202592095.968876,496919154.3013868
2021-07-06,15.31885654020041,15446939706.966549,574183925.1512223
2021-07-07,16.01125441862346,16110114515.52072,710889640.5946512
2021-07-08,16.84380170366391,16988955419.758852,1071108684.8823644
2021-07-09,15.380429468503015,15515383491.814346,803984948.9624517
2021-07-10,15.732674730640069,15876798284.279968,541920808.0654576
2021-07-11,15.36268352922368,15507578349.20516,420597815.0755611
2021-07-12,15.51696017943959,15659569354.397688,344870666.6668761
2021-07-13,14.934794068404925,15064043256.52534,448242274.993748
2021-07-14,14.14311380168296,14290203246.661207,392671006.92454654
2021-07-15,13.797801649099958,13918632889.9397,594320913.1156065
2021-07-16,13.04247296885441,13164575053.977856,559591550.8491681
2021-07-17,12.016875287601096,12135153029.810574,552734556.6652181
2021-07-18,12.274409909483534,12431619895.169931,602223527.0661373
2021-07-19,12.77284725809809,12904733429.225042,491685992.4581064
2021-07-20,11.539037723699147,11716868009.766188,633403592.1663936
2021-07-21,11.0743355718571,11192123688.695856,604314613.6823586
2021-07-22,12.401542039727646,12507872639.32874,943414148.436684
2021-07-23,13.262281874766463,13425897698.422424,855200965.5527009
2021-07-24,13.351105190817131,13516250007.12555,748669936.7785717
2021-07-25,13.846756807214286,13995021443.19115,647617803.3238002
2021-07-26,13.80111075819321,13977268609.217564,599123810.8506314
2021-07-27,13.94463912061858,14197666149.040764,1406472419.6280398
2021-07-28,14.326005804928336,14471619607.204191,924272223.9271412
2021-07-29,14.543284734722445,14744715019.364664,861496261.0001287
