Date,Market Cap
1586563200000,7827651.892659198
1586649600000,6173607.678345317
1586736000000,7269680.447445141
1586822400000,6302364.150584625
1586908800000,5306221.06575891
1586995200000,5114653.932636794
1587081600000,5505929.486978686
1587168000000,5348323.975349362
1587254400000,5423066.285864263
1587340800000,4844617.211182358
1587427200000,4285479.154681022
1587513600000,4591546.761226098
1587600000000,5446538.173850838
1587686400000,4909586.999036558
1587772800000,5027193.620409137
1587859200000,5173619.233465031
1587945600000,5137791.330825961
1588032000000,4616001.375155629
1588118400000,5283691.351331575
1588204800000,5897415.537215416
1588291200000,5635423.505964131
1588377600000,5735879.899599453
1588464000000,5669404.169981707
1588550400000,5486412.385664286
1588636800000,5354861.583908894
1588723200000,5195811.6286706
1588809600000,5010066.054780242
1588896000000,4874818.721855924
1588982400000,4827334.908169065
1589068800000,4816707.909418276
1589155200000,4324416.949285259
1589241600000,4171226.2991002905
1589328000000,4266741.231304909
1589414400000,4413742.897500913
1589500800000,4570789.918376839
1589587200000,4432087.508991812
1589673600000,4752035.386171752
1589760000000,4898008.357759836
1589846400000,5213969.633802138
1589932800000,4996233.199332481
1590019200000,4629608.829738474
1590105600000,4853042.594897839
1590192000000,4919865.806567834
1590278400000,4866957.615424991
1590364800000,4374843.160369413
1590451200000,4809730.17960867
1590537600000,4598505.351008801
1590624000000,4715158.090275346
1590710400000,9366383.783941554
1590796800000,9427078.266084636
1590883200000,9591470.33610501
1590969600000,9399234.951485896
1591056000000,9424972.586161828
1591142400000,9310563.109433705
1591228800000,9614805.94741188
1591315200000,9543805.262487222
1591401600000,10747702.95638117
1591488000000,10180036.835310562
1591574400000,10138083.793723866
1591660800000,10913789.386770498
1591747200000,10726797.093153996
1591833600000,10648020.65447342
1591920000000,9341515.406268213
1592006400000,9722321.601662131
1592092800000,9955797.604756866
1592179200000,9583560.125035353
1592265600000,9320494.000741212
1592352000000,9519846.38912149
1592438400000,9549958.35463254
1592524800000,10224928.435807472
1592611200000,11247343.894203106
1592697600000,10673766.043338617
1592784000000,11086240.79289364
1592870400000,11996277.112687156
1592956800000,11646898.982503338
1593043200000,12150092.54225176
1593129600000,11741625.189942881
1593216000000,12079079.145186102
1593302400000,11750514.839677684
1593388800000,13136127.952360291
1593475200000,14062849.974509096
1593561600000,14164459.013979025
1593648000000,13737840.609279668
1593734400000,12783903.734507758
1593820800000,12672163.175031388
1593907200000,12892264.592707587
1593993600000,11423393.474284139
1594080000000,11691026.180906912
1594166400000,12435090.742149869
1594252800000,13138366.724263769
1594339200000,14045120.422821058
1594425600000,15112460.37027957
1594512000000,15255277.05816987
1594598400000,16696748.621766666
1594684800000,20428062.235112287
1594771200000,19972946.844421286
1594857600000,24362181.926540546
1594944000000,17274473.46197496
1595030400000,20917439.75564856
1595116800000,20602905.143447436
1595203200000,19624140.864785753
1595289600000,18811046.939017244
1595376000000,20859692.480081826
1595462400000,23288212.437627885
1595548800000,23621340.96676559
1595635200000,22240716.375305213
1595721600000,27986367.374513853
1595808000000,35745817.7886529
1595894400000,41165009.82828771
1595980800000,41629008.982130036
1596067200000,40210662.87394944
1596153600000,41117076.71814283
1596240000000,37711209.168728195
1596326400000,37591996.350815535
1596412800000,42382004.442631856
1596499200000,43879557.43250306
1596585600000,46368816.3139189
1596672000000,43050611.45569475
1596758400000,57169342.30736419
1596844800000,54969359.87215626
1596931200000,65401183.62573061
1597017600000,71020175.15382175
1597104000000,87332088.95472732
1597190400000,91851887.99480896
1597276800000,105458413.8307931
1597363200000,108874815.26710747
1597449600000,101662334.18190424
1597536000000,94560197.39791581
1597622400000,101093049.99744666
1597708800000,95117475.85564578
1597795200000,103512572.72250581
1597881600000,91194729.76245809
1597968000000,101186302.29256418
1598054400000,92576368.0854075
1598140800000,95149797.26079312
1598227200000,104838610.42033501
1598313600000,105025071.74355629
1598400000000,103504610.60526419
1598486400000,114219136.44905476
1598572800000,110491240.21623018
1598659200000,129651597.85797815
1598745600000,128816760.88101023
1598832000000,144468272.8412078
1598918400000,157231078.23530626
1599004800000,144080731.16918826
1599091200000,137747076.79202124
1599177600000,119105104.96979707
1599264000000,118962336.47400291
1599350400000,87193154.31518938
1599436800000,103754712.65869252
1599523200000,99103615.3011978
1599609600000,85338829.21618006
1599696000000,121438753.71660663
1599782400000,118759154.8277774
1599868800000,121133286.76719753
1599955200000,116947704.57942767
1600041600000,112654349.57438488
1600128000000,118721263.47138277
1600214400000,107150010.94799854
1600300800000,94070098.59695262
1600387200000,107329192.55976476
1600473600000,115398247.16683203
1600560000000,113066182.9422364
1600646400000,107485223.20908946
1600732800000,105132421.8250733
1600819200000,110996725.68154047
1600905600000,107801478.99659243
1600992000000,118878878.68168245
1601078400000,122238331.59277275
1601164800000,121477645.40078653
1601251200000,124163454.94575258
1601337600000,115671366.64099684
1601424000000,117794737.82329232
1601510400000,116997169.793763
1601596800000,116446343.764479
1601683200000,107373602.62220953
1601769600000,104629198.18132688
1601856000000,104629072.11208977
1601942400000,109983903.67952684
1602028800000,90510593.136206
1602115200000,96626244.2271101
1602201600000,100361073.08665311
1602288000000,108143704.99926196
1602374400000,102263473.32540001
1602460800000,102599664.11189498
1602547200000,109398780.83412512
1602633600000,104349414.79795986
1602720000000,100630989.38907091
1602806400000,98861299.72953752
1602892800000,93684534.75782022
1602979200000,95604758.79489854
1603065600000,96201418.29928115
1603152000000,89483911.14654794
1603238400000,82488167.14046891
1603324800000,82144490.25896214
1603411200000,86559361.41416237
1603497600000,86992250.29298699
1603584000000,85097119.41553113
1603670400000,80166567.40845197
